nivelGrises,pixeles
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,23
10,157
11,604
12,1013
13,1368
14,2373
15,3458
16,3910
17,3873
18,3658
19,2754
20,2322
21,1827
22,1355
23,990
24,626
25,531
26,484
27,525
28,383
29,232
30,66
31,52
32,40
33,40
34,37
35,25
36,30
37,24
38,25
39,23
40,14
41,18
42,21
43,13
44,19
45,18
46,16
47,13
48,10
49,13
50,12
51,12
52,12
53,5
54,11
55,15
56,7
57,9
58,6
59,14
60,11
61,6
62,8
63,6
64,13
65,7
66,5
67,13
68,9
69,5
70,9
71,5
72,6
73,9
74,3
75,5
76,4
77,3
78,7
79,8
80,5
81,2
82,3
83,3
84,5
85,2
86,2
87,3
88,1
89,3
90,2
91,0
92,0
93,1
94,1
95,2
96,1
97,0
98,0
99,1
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
